Network Management,"EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI","EnGenius Cloud
SkyKey
ezMaster
Local Web GUI",,,,,,,,,,,
MAC Address Table,8K,8K,16K,16K,16K,16K,32K,32K,32K,16k,16k,16k,16k,32k,32k,32k,32k,,,,,,,,,,,
Jumbo frame size,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,10K,,,,,,,,,,,
Multicast Group,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,Max 256 groups,,,,,,,,,,,
MLD Snooping,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,MLD Snooping: v1,,,,,,,,,,,
QoS-number of Priority Queues Supported,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,Queue 8,,,,,,,,,,,
QoS Trust Mode,"Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP","Cos/802.1p
DSCP
CoS/802.1p-DSCP",,,,,,,,,,,
Scheduling Mechanism,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,Strict / WRR/ Strict + WRR,,,,,,,,,,,
Bandwidth Control,Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),Port-based bandwidth control (Ingress/Egress),,,,,,,,,,,
Port Security,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,Max. 256 Entries,,,,,,,,,,,
Access Control List (ACL),"MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base AC","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base AC","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL","MAC Based ACL
IPv4/IPv6 Based ACL
ACL Binding
Time base ACL",,,,,,,,,,,
Web Graphical User Interface (GUI),"HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6","HTTP IPv4 / IPv6
HTTPS IPv4 / IPv6",,,,,,,,,,,
SNMP,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,SNMP v1/v2c/v3 Support,,,,,,,,,,,
RMON,"RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9","RMON 1,2,3,9",,,,,,,,,,,
System Time,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,Time Setting/Daylight saving,,,,,,,,,,,
